i,tau
0,$\frac{10}{7}$
2,$\frac{288}{2401}$
4,-$\frac{240192}{45294865}$
6,-$\frac{37647386496}{11108339166925}$
7,$\frac{5154131788676352}{2724264638992521625}$
8,-$\frac{1828854022199737517568}{1622558397660750917241875}$
10,$\frac{4788476595594706542555091968}{6764713681983284597882721784375}$
12,-$\frac{333207890299772418358595124320937984}{750205319977359363432143692632890996875}$
14,$\frac{384324328969886017955349568884165743978164224}{1366817906371309055843841557575267655935039046875}$
16,-$\frac{2241496149333347510622026401379280877412634073959456768}{12451199287907137102778709466943415347212749443284171484375}$
18,$\frac{2640541575683401164949776492089908615592018826498686833538777088}{22685152569996135996229496037325376035529199986794205676507927734375}$
20,-$\frac{90999911407271629445902884163495991850622440695336663926865318101431386112}{1198588820362905667811216420985132469928184621078674921926335765852723935546875}$
